week,age,diet,weight,eggs
6,193,B,3146.5,3
6,184,B,2872.9,5
6,195,B,3090.0,4
6,173,B,3332.6,5
6,167,B,3296.4,4
6,196,B,3406.0,4
6,169,B,3260.4,5
6,161,B,2879.8,5
6,190,B,3055.0,4
6,170,C,3577.6,4
6,176,C,3845.2,5
6,190,C,3006.4,3
6,158,C,3457.9,5
6,199,C,3094.8,3
6,196,C,2529.9,4
6,160,C,3349.8,4
6,164,C,2866.8,5
6,177,C,3244.5,4
6,194,C,3451.1,4
8,155,A,3499.1,4
8,165,A,3257.5,5
8,171,A,3332.5,4
8,153,A,3592.0,4
8,170,A,3933.4,5
8,175,A,3436.0,4
8,156,A,3588.7,4
8,174,A,3023.4,4
8,143,A,3347.7,4
8,173,A,3567.4,4
8,203,B,3372.0,3
8,195,B,3216.1,4
8,186,B,2936.4,4
8,197,B,3158.4,3
8,175,B,3406.3,5
8,169,B,3369.4,5
8,198,B,3481.4,3
8,171,B,3332.5,4
8,163,B,2943.5,5
8,192,B,3122.6,3
8,172,C,3649.5,5
8,178,C,3922.4,5
8,192,C,3066.8,4
8,160,C,3527.4,5
8,201,C,3157.0,3
8,198,C,2580.8,3
8,162,C,3417.1,5
8,166,C,2924.4,5
8,179,C,3309.7,4
8,196,C,3520.4,4
10,157,A,3604.9,5
10,167,A,3356.0,5
10,173,A,3433.2,4
10,155,A,3700.6,5
10,172,A,4052.3,5
10,177,A,3539.8,4
10,158,A,3697.1,4
10,176,A,3114.8,5
10,145,A,3448.9,4
10,175,A,3675.2,5
10,205,B,3446.6,4
10,197,B,3287.3,3
10,188,B,3001.4,4
10,199,B,3228.2,4
10,177,B,3481.7,4
10,171,B,3443.9,4
10,200,B,3558.4,4
10,173,B,3406.2,4
10,165,B,3008.6,4
10,194,B,3191.7,4
10,174,C,3722.9,5
10,180,C,4001.3,5
10,194,C,3128.4,3
10,162,C,3598.3,4
10,203,C,3220.5,4
10,200,C,2632.7,3
10,164,C,3485.8,5
10,168,C,2983.2,5
10,181,C,3376.2,5
10,198,C,3591.2,3
12,159,A,3713.8,4
12,169,A,3457.4,4
12,175,A,3537.0,4
12,157,A,3812.4,4
12,174,A,4174.8,5
12,179,A,3646.8,4
12,160,A,3808.9,4
12,178,A,3209.0,5
12,147,A,3553.1,4
12,177,A,3786.3,5
12,207,B,3522.9,3
12,199,B,3360.0,4
12,190,B,3067.8,4
12,201,B,3299.7,3
12,179,B,3558.7,4
12,173,B,3520.1,5
12,202,B,3637.1,3
12,175,B,3481.6,4
12,167,B,3075.1,5
12,196,B,3262.3,4
12,176,C,3797.7,5
12,182,C,4081.7,5
12,196,C,3191.3,3
12,164,C,3670.6,4
12,205,C,3285.2,4
12,202,C,2685.6,4
12,166,C,3555.8,4
12,170,C,3043.2,4
12,183,C,3444.1,4
12,200,C,3663.4,3
14,161,A,3826.1,4
14,171,A,3561.9,5
14,177,A,3643.9,4
14,159,A,3927.6,4
14,176,A,4301.0,5
14,181,A,3757.1,5
14,162,A,3924.0,5
14,180,A,3305.9,4
14,149,A,3660.5,5
14,179,A,3900.8,5
14,209,B,3600.8,4
14,201,B,3434.3,4
14,192,B,3135.6,4
14,203,B,3372.6,4
14,181,B,3637.4,4
14,175,B,3597.9,5
14,204,B,3717.6,3
14,177,B,3558.6,5
14,169,B,3143.2,5
14,198,B,3334.5,3
14,178,C,3874.1,5
14,184,C,4163.8,4
14,198,C,3255.5,4
14,166,C,3744.4,5
14,207,C,3351.3,3
14,204,C,2739.5,3
14,168,C,3627.3,5
14,172,C,3104.3,4
14,185,C,3513.3,5
14,202,C,3737.0,4
16,163,A,3941.7,4
16,173,A,3669.6,5
16,179,A,3754.0,4
16,161,A,4046.4,4
16,178,A,4431.0,4
16,183,A,3870.6,4
16,164,A,4042.6,5
16,182,A,3405.9,4
16,151,A,3771.2,5
16,181,A,4018.7,4
16,211,B,3680.5,4
16,203,B,3510.3,3
16,194,B,3205.0,5
16,205,B,3447.3,4
16,183,B,3717.9,4
16,177,B,3677.5,4
16,206,B,3799.8,3
16,179,B,3637.3,5
16,171,B,3212.7,5
16,200,B,3408.2,3
16,180,C,3951.9,4
16,186,C,4247.4,5
16,200,C,3320.9,3
16,168,C,3819.6,4
16,209,C,3418.6,4
16,206,C,2794.6,4
16,170,C,3700.2,4
16,174,C,3166.7,4
16,187,C,3584.0,5
16,204,C,3812.1,3
18,165,A,4060.8,5
18,175,A,3780.5,5
18,181,A,3867.5,4
18,163,A,4168.7,4
18,180,A,4564.9,4
18,185,A,3987.6,4
18,166,A,4164.8,5
18,184,A,3508.8,5
18,153,A,3885.2,4
18,183,A,4140.1,4
18,213,B,3761.9,3
18,205,B,3587.9,4
18,196,B,3275.9,5
18,207,B,3523.5,4
18,185,B,3800.1,4
18,179,B,3758.9,5
18,208,B,3883.9,3
18,181,B,3717.7,4
18,173,B,3283.8,5
18,202,B,3483.6,3
18,182,C,4031.4,5
18,188,C,4332.8,5
18,202,C,3387.6,4
18,170,C,3896.4,4
18,211,C,3487.3,4
18,208,C,2850.8,4
18,172,C,3774.6,4
18,176,C,3230.4,5
18,189,C,3656.0,4
18,206,C,3888.8,4
20,167,A,4183.6,4
20,177,A,3894.7,5
20,183,A,3984.4,5
20,165,A,4294.7,5
20,182,A,4702.9,4
20,187,A,4108.1,5
20,168,A,4290.7,5
20,186,A,3614.9,5
20,155,A,4002.6,4
20,185,A,4265.3,5
20,215,B,3845.1,4
20,207,B,3667.3,3
20,198,B,3348.4,5
20,209,B,3601.5,3
20,187,B,3884.2,5
20,181,B,3842.0,5
20,210,B,3969.8,3
20,183,B,3800.0,4
20,175,B,3356.4,4
20,204,B,3560.7,4
20,184,C,4112.4,4
20,190,C,4419.9,4
20,204,C,3455.7,3
20,172,C,3974.7,5
20,213,C,3557.4,4
20,210,C,2908.1,4
20,174,C,3850.5,4
20,178,C,3295.3,5
20,191,C,3729.5,4
20,208,C,3966.9,3
22,169,A,4310.0,5
22,179,A,4012.5,4
22,185,A,4104.8,4
22,167,A,4424.5,4
22,184,A,4845.0,5
22,189,A,4232.3,4
22,170,A,4420.3,5
22,188,A,3724.1,5
22,157,A,4123.6,5
22,187,A,4394.2,5
22,217,B,3930.2,4
22,209,B,3748.4,4
22,200,B,3422.4,4
22,211,B,3681.1,4
22,189,B,3970.1,4
22,183,B,3927.0,4
22,212,B,4057.6,3
22,185,B,3884.0,4
22,177,B,3430.7,5
22,206,B,3639.5,4
22,186,C,4195.0,5
22,192,C,4508.7,5
22,206,C,3525.2,3
22,174,C,4054.6,4
22,215,C,3628.9,4
22,212,C,2966.5,4
22,176,C,3927.9,4
22,180,C,3361.6,5
22,193,C,3804.4,5
22,210,C,4046.7,3
